################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/jacob/RUIS/tmp.Lg6voQtaRI 
# Host:       ct01  DaemonOpts: 
# Booted:     1615262611.27 [20210308-23:03:31]
# Distro:     debian bullseye/sid, Ubuntu 20.04.2 LTS  Platform: Unknown
# Date:       20210505-195040  Secs: 1620258640 TZ: -0400
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 32 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.070 Cores: 16  Siblings: 32 Nodes: 1
# Kernel:     4.18.0-147.5.1.el8_1.x86_64  Memory: 131380412 kB  Swap: 4194300 kB
# NumDisks:   5 DiskNames: sda sdb dm-0 dm-1 dm-2
# NumNets:    8 NetNames: eno1:1000 docker0:?? lo:?? ens2f1:25000 idrac:?? vethd4beeca:10000 eno2:1000 ens2f0:10000
# SCSI:       CD:14:00:00:00 DA:0:00:00:00 DA:0:00:01:00
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20210505,19:50:40.308,123379812,8000600,7608708,278864,562032,153600,92679540,100.00
20210505,19:50:40.401,123380132,8000280,7608740,279124,562232,153600,92679660,100.00
20210505,19:50:40.508,123380332,8000080,7608740,279124,562360,153600,92679720,100.00
20210505,19:50:40.601,123380488,7999924,7608808,279124,562372,153600,92679840,100.00
20210505,19:50:40.708,123380620,7999792,7608808,279124,562392,153600,92679900,100.00
20210505,19:50:40.801,123380708,7999704,7608808,279124,562400,153600,92680020,100.00
20210505,19:50:40.901,123380796,7999616,7608808,279124,562404,153600,92680080,100.00
20210505,19:50:41.001,123380972,7999440,7608808,279124,562496,153600,92680200,100.00
20210505,19:50:41.101,123381040,7999372,7608808,279124,562504,153600,92680260,100.00
20210505,19:50:41.201,123381212,7999200,7608808,279124,562508,153600,92680380,100.00
20210505,19:50:41.301,123381284,7999128,7608808,279124,562516,153600,92680440,100.00
20210505,19:50:41.401,123384960,7995452,7608808,279124,562520,153600,92684088,100.00
20210505,19:50:41.501,123402180,7978232,7608808,279124,562524,153600,92701344,100.00
20210505,19:50:41.601,123419384,7961028,7608808,279124,562532,153600,92718540,100.00
20210505,19:50:41.701,123436712,7943700,7608808,279124,562536,153600,92735796,100.00
20210505,19:50:41.801,123443316,7937096,7608808,279124,562544,153600,92741904,100.00
20210505,19:50:41.901,123452548,7927864,7608920,279188,562572,153600,92751564,100.00
20210505,19:50:42.001,123470324,7910088,7608920,279188,562588,153600,92769324,100.00
20210505,19:50:42.101,123487620,7892792,7608920,279188,562588,153600,92786520,100.00
20210505,19:50:42.201,123504376,7876036,7608928,279188,562588,153600,92803212,100.00
20210505,19:50:42.301,123521128,7859284,7608928,279188,562588,153600,92819964,100.00
20210505,19:50:42.401,123521740,7858672,7609264,279188,562620,153600,92820428,100.00
20210505,19:50:42.501,123533476,7846936,7609264,279188,562620,153600,92832644,100.00
20210505,19:50:42.601,123544672,7835740,7609264,279188,562620,153600,92843288,100.00
20210505,19:50:42.701,123561896,7818516,7609264,279188,562620,153600,92860484,100.00
20210505,19:50:42.801,123579196,7801216,7609264,279188,562620,153600,92877740,100.00
20210505,19:50:42.901,123595988,7784424,7609352,279316,562676,153600,92894576,100.00
20210505,19:50:43.001,123612724,7767688,7609352,279316,562684,153600,92911268,100.00
20210505,19:50:43.101,123629524,7750888,7609352,279316,562688,153600,92928040,100.00
20210505,19:50:43.201,123646240,7734172,7609352,279316,562688,153600,92944732,100.00
20210505,19:50:43.301,123663524,7716888,7609352,279316,562696,153600,92961988,100.00
20210505,19:50:43.401,123680688,7699724,7609352,279316,562700,153600,92979184,100.00
20210505,19:50:43.501,123698124,7682288,7609352,279316,562704,153600,92996440,100.00
20210505,19:50:43.601,123715348,7665064,7609352,279316,562708,153600,93013696,100.00
20210505,19:50:43.701,123732572,7647840,7609352,279316,562708,153600,93030892,100.00
20210505,19:50:43.801,123749812,7630600,7609720,279316,562712,153600,93048120,100.00
20210505,19:50:43.901,123767164,7613248,7609720,279316,562720,153600,93065316,100.00
20210505,19:50:44.001,123784424,7595988,7609720,279316,562724,153600,93082572,100.00
20210505,19:50:44.101,123802148,7578264,7609720,279316,562724,153600,93100272,100.00
20210505,19:50:44.201,123819456,7560956,7609720,279316,562724,153600,93117528,100.00
20210505,19:50:44.301,123835196,7545216,7609912,279316,562724,153600,93133284,100.00
20210505,19:50:44.401,123852324,7528088,7609912,279316,562732,153600,93150540,100.00
20210505,19:50:44.501,123869960,7510452,7609912,279316,562732,153600,93167736,100.00
20210505,19:50:44.601,123887136,7493276,7609912,279316,562732,153600,93184992,100.00
20210505,19:50:44.701,123904280,7476132,7609912,279316,562732,153600,93202248,100.00
20210505,19:50:44.801,123921640,7458772,7610120,279316,562736,153600,93219408,100.00
20210505,19:50:44.901,123939252,7441160,7610120,279316,562744,153600,93236664,100.00
20210505,19:50:45.001,123956352,7424060,7610120,279316,562748,153600,93254364,100.00
20210505,19:50:45.101,123974012,7406400,7610120,279316,562748,153600,93271620,100.00
20210505,19:50:45.201,123991140,7389272,7610120,279316,562748,153600,93288876,100.00
20210505,19:50:45.301,124008764,7371648,7610120,279316,562752,153600,93306072,100.00
