################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/jacob/RUIS/tmp.lwX10Sz5B3 
# Host:       ct01  DaemonOpts: 
# Booted:     1615262611.59 [20210308-23:03:31]
# Distro:     debian bullseye/sid, Ubuntu 20.04.2 LTS  Platform: Unknown
# Date:       20210505-200408  Secs: 1620259448 TZ: -0400
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 32 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.095 Cores: 16  Siblings: 32 Nodes: 1
# Kernel:     4.18.0-147.5.1.el8_1.x86_64  Memory: 131380412 kB  Swap: 4194300 kB
# NumDisks:   5 DiskNames: sda sdb dm-0 dm-1 dm-2
# NumNets:    8 NetNames: eno1:1000 docker0:?? lo:?? ens2f1:25000 idrac:?? vethc85bf57:10000 eno2:1000 ens2f0:10000
# SCSI:       CD:14:00:00:00 DA:0:00:00:00 DA:0:00:01:00
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20210505,20:04:08.901,124453948,6926464,7619528,278540,566688,159744,93742076,100.00
20210505,20:04:09.001,124454288,6926124,7619528,278796,566832,159744,93742196,100.00
20210505,20:04:09.101,124454300,6926112,7619528,278796,566872,159744,93742264,100.00
20210505,20:04:09.201,124454492,6925920,7619528,278796,566920,159744,93742368,100.00
20210505,20:04:09.301,124454492,6925920,7619528,278796,566944,159744,93742488,100.00
20210505,20:04:09.401,124454444,6925968,7619528,278796,566952,159744,93742544,100.00
20210505,20:04:09.501,124454428,6925984,7619528,278796,566960,159744,93742660,100.00
20210505,20:04:09.601,124454872,6925540,7619516,278796,566992,159744,93742780,100.00
20210505,20:04:09.701,124454852,6925560,7619516,278796,567000,159744,93742832,100.00
20210505,20:04:09.801,124454756,6925656,7619516,278804,567000,159744,93742952,100.00
20210505,20:04:09.901,124455276,6925136,7619516,278804,567028,159744,93743008,100.00
20210505,20:04:10.001,124463336,6917076,7619516,278804,567036,159744,93743080,100.00
20210505,20:04:10.101,124478572,6901840,7619532,278804,567040,159744,93743136,100.00
20210505,20:04:10.201,124495736,6884676,7619532,278804,567040,159744,93743256,100.00
20210505,20:04:10.301,124512992,6867420,7619532,278804,567052,159744,93743364,100.00
20210505,20:04:10.401,124524232,6856180,7619532,278804,567052,159744,93743424,100.00
20210505,20:04:10.501,124524792,6855620,7619532,278804,567056,159744,93743540,100.00
20210505,20:04:10.601,124541008,6839404,7619532,278804,567060,159744,93753736,100.00
20210505,20:04:10.701,124553776,6826636,7619532,278804,567088,159744,93766408,100.00
20210505,20:04:10.801,124564464,6815948,7619532,278804,567100,159744,93777024,100.00
20210505,20:04:10.901,124580480,6799932,7619740,278804,567124,159744,93792504,100.00
20210505,20:04:11.001,124596232,6784180,7619740,278804,567124,159744,93808248,100.00
20210505,20:04:11.101,124613520,6766892,7619740,278804,567124,159744,93825504,100.00
20210505,20:04:11.201,124630808,6749604,7619740,278804,567124,159744,93842700,100.00
20210505,20:04:11.301,124648568,6731844,7619740,278804,567124,159744,93860460,100.00
20210505,20:04:11.401,124663932,6716480,7619916,278804,567124,159744,93875736,100.00
20210505,20:04:11.501,124681644,6698768,7619916,278804,567124,159744,93893496,100.00
20210505,20:04:11.601,124698860,6681552,7619916,278804,567124,159744,93910752,100.00
20210505,20:04:11.701,124716616,6663796,7619916,278804,567124,159744,93928512,100.00
20210505,20:04:11.801,124734320,6646092,7619916,278804,567164,159744,93946128,100.00
20210505,20:04:11.901,124751616,6628796,7619916,278804,567172,159744,93963384,100.00
20210505,20:04:12.001,124769332,6611080,7619916,278804,567180,159744,93981084,100.00
20210505,20:04:12.101,124786152,6594260,7619916,278804,567180,159744,93997716,100.00
20210505,20:04:12.201,124802396,6578016,7619916,278804,567180,159744,94013844,100.00
20210505,20:04:12.301,124819580,6560832,7619916,278804,567180,159744,94030980,100.00
20210505,20:04:12.401,124836916,6543496,7619916,278804,567180,159744,94048116,100.00
20210505,20:04:12.501,124854756,6525656,7619916,278804,567180,159744,94065756,100.00
20210505,20:04:12.601,124872052,6508360,7619916,278804,567180,159744,94083396,100.00
20210505,20:04:12.701,124888100,6492312,7620220,278804,567188,159744,94099144,100.00
20210505,20:04:12.801,124905396,6475016,7620220,278804,567188,159744,94116280,100.00
20210505,20:04:12.901,124922540,6457872,7620356,278804,567208,159744,94133912,100.00
20210505,20:04:13.001,124939804,6440608,7620356,278804,567208,159744,94151168,100.00
20210505,20:04:13.101,124957036,6423376,7620356,278804,567212,159744,94168364,100.00
20210505,20:04:13.201,124972748,6407664,7620500,278804,567212,159744,94184084,100.00
20210505,20:04:13.301,124990576,6389836,7620500,278804,567212,159744,94201280,100.00
20210505,20:04:13.401,125007844,6372568,7620500,278804,567216,159744,94218980,100.00
20210505,20:04:13.501,125022544,6357868,7620500,278804,567224,159744,94233716,100.00
20210505,20:04:13.601,125040324,6340088,7620500,278804,567224,159744,94251416,100.00
20210505,20:04:13.701,125057616,6322796,7620500,278804,567232,159744,94268672,100.00
20210505,20:04:13.801,125072844,6307568,7620500,278804,567232,159744,94283852,100.00
20210505,20:04:13.901,125090868,6289544,7620692,278804,567236,159744,94301960,100.00
20210505,20:04:14.001,125105932,6274480,7620692,278804,567240,159744,94317020,100.00
20210505,20:04:14.101,125123252,6257160,7620692,278804,567240,159744,94334276,100.00
20210505,20:04:14.201,125140992,6239420,7620692,278804,567244,159744,94352036,100.00
20210505,20:04:14.301,125158276,6222136,7620692,278804,567252,159744,94369232,100.00
20210505,20:04:14.401,125176036,6204376,7620692,278804,567252,159744,94386992,100.00
20210505,20:04:14.501,125193316,6187096,7620692,278804,567256,159744,94404188,100.00
20210505,20:04:14.601,125210564,6169848,7620692,278804,567260,159744,94421444,100.00
20210505,20:04:14.701,125226352,6154060,7620948,278804,567260,159744,94437188,100.00
20210505,20:04:14.801,125243636,6136776,7620948,278804,567264,159744,94454384,100.00
20210505,20:04:14.901,125261196,6119216,7621044,278804,567272,159744,94471840,100.00
20210505,20:04:15.001,125278500,6101912,7621044,278804,567272,159744,94489156,100.00
20210505,20:04:15.101,125295708,6084704,7621044,278804,567276,159744,94506352,100.00
20210505,20:04:15.201,125313044,6067368,7621044,278804,567276,159744,94523608,100.00
20210505,20:04:15.301,125330264,6050148,7621044,278804,567280,159744,94540804,100.00
20210505,20:04:15.401,125344804,6035608,7621236,278804,567304,159744,94555276,100.00
20210505,20:04:15.501,125362068,6018344,7621236,278804,567308,159744,94572472,100.00
20210505,20:04:15.601,125379372,6001040,7621236,278804,567316,159744,94589728,100.00
20210505,20:04:15.701,125396604,5983808,7621236,278804,567316,159744,94606924,100.00
20210505,20:04:15.801,125413852,5966560,7621236,278804,567316,159744,94623676,100.00
20210505,20:04:15.901,125429180,5951232,7621236,278804,567320,159744,94638856,100.00
20210505,20:04:16.001,125445088,5935324,7621444,278804,567468,159744,94654600,100.00
20210505,20:04:16.101,125462352,5918060,7621444,278804,567472,159744,94672300,100.00
20210505,20:04:16.201,125479604,5900808,7621444,278804,567472,159744,94689556,100.00
20210505,20:04:16.301,125496852,5883560,7621444,278804,567472,159744,94706752,100.00
20210505,20:04:16.401,125514132,5866280,7621444,278804,567472,159744,94724008,100.00
20210505,20:04:16.501,125531408,5849004,7621444,278804,567472,159744,94741204,100.00
20210505,20:04:16.601,125546748,5833664,7621444,278804,567540,159744,94756472,100.00
20210505,20:04:16.701,125563952,5816460,7621444,278804,567544,159744,94773668,100.00
20210505,20:04:16.801,125581192,5799220,7621444,278804,567544,159744,94790924,100.00
20210505,20:04:16.901,125598892,5781520,7621444,278804,567544,159744,94808684,100.00
20210505,20:04:17.001,125616236,5764176,7621684,278804,567828,159744,94825724,100.00
20210505,20:04:17.101,125633992,5746420,7621684,278804,567828,159744,94843484,100.00
20210505,20:04:17.201,125651244,5729168,7621684,278804,567828,159744,94860680,100.00
20210505,20:04:17.301,125668484,5711928,7621684,278804,567828,159744,94877936,100.00
20210505,20:04:17.401,125684096,5696316,7621812,278804,567828,159744,94893464,100.00
20210505,20:04:17.501,125701312,5679100,7621812,278804,567828,159744,94910660,100.00
20210505,20:04:17.601,125719052,5661360,7621828,278804,567828,159744,94928420,100.00
20210505,20:04:17.701,125736316,5644096,7621828,278804,567828,159744,94945616,100.00
20210505,20:04:17.801,125753644,5626768,7621828,278804,567836,159744,94962872,100.00
20210505,20:04:17.901,125770932,5609480,7621828,278804,567836,159744,94980068,100.00
20210505,20:04:18.001,125788228,5592184,7621828,278804,567836,159744,94997324,100.00
20210505,20:04:18.101,125805992,5574420,7621828,278804,567836,159744,95014520,100.00
20210505,20:04:18.201,125823268,5557144,7621828,278804,567836,159744,95032280,100.00
20210505,20:04:18.301,125840560,5539852,7621828,278804,567840,159744,95049536,100.00
20210505,20:04:18.401,125857836,5522576,7621828,278804,567840,159744,95066732,100.00
20210505,20:04:18.501,125875096,5505316,7621828,278804,567844,159744,95083988,100.00
20210505,20:04:18.601,125892324,5488088,7621828,278804,567844,159744,95101184,100.00
20210505,20:04:18.701,125909636,5470776,7621828,278804,567844,159744,95118440,100.00
20210505,20:04:18.801,125927340,5453072,7622324,278804,567852,159744,95136040,100.00
20210505,20:04:18.901,125942372,5438040,7622372,278804,567852,159744,95151124,100.00
20210505,20:04:19.001,125960168,5420244,7622372,278804,567864,159744,95168824,100.00
20210505,20:04:19.101,125975960,5404452,7622372,278804,567864,159744,95184004,100.00
20210505,20:04:19.201,125992736,5387676,7622372,278804,567864,159744,95200636,100.00
20210505,20:04:19.301,126010060,5370352,7622372,278804,567864,159744,95217772,100.00
20210505,20:04:19.401,126027816,5352596,7622372,278804,567864,159744,95235412,100.00
20210505,20:04:19.501,126045140,5335272,7622372,278804,567864,159744,95252548,100.00
20210505,20:04:19.601,126062448,5317964,7622372,278804,567864,159744,95269684,100.00
20210505,20:04:19.701,126079756,5300656,7622372,278804,567864,159744,95287324,100.00
20210505,20:04:19.801,126096896,5283516,7622724,278804,567868,159744,95305176,100.00
20210505,20:04:19.901,126114144,5266268,7622756,278804,567872,159744,95322360,100.00
20210505,20:04:20.001,126127332,5253080,7622756,278804,567872,159744,95335524,100.00
20210505,20:04:20.101,126144636,5235776,7622756,278804,567876,159744,95352780,100.00
20210505,20:04:20.201,126161880,5218532,7622756,278804,567876,159744,95370036,100.00
20210505,20:04:20.301,126179664,5200748,7622756,278804,567876,159744,95387736,100.00
20210505,20:04:20.401,126196912,5183500,7622756,278804,567876,159744,95404992,100.00
20210505,20:04:20.501,126214188,5166224,7622756,278804,567876,159744,95422188,100.00
20210505,20:04:20.601,126231488,5148924,7622756,278804,567876,159744,95439384,100.00
20210505,20:04:20.701,126249264,5131148,7622756,278804,567880,159744,95457144,100.00
20210505,20:04:20.801,126266528,5113884,7622756,278804,567888,159744,95474340,100.00
20210505,20:04:20.901,126284344,5096068,7623124,278804,567892,159744,95492092,100.00
20210505,20:04:21.001,126301588,5078824,7623124,278804,567896,159744,95509288,100.00
20210505,20:04:21.101,126318812,5061600,7623124,278804,567896,159744,95526604,100.00
20210505,20:04:21.201,126336064,5044348,7623124,278804,567896,159744,95543800,100.00
20210505,20:04:21.301,126353416,5026996,7623124,278804,567900,159744,95561056,100.00
20210505,20:04:21.401,126370648,5009764,7623124,278804,567900,159744,95578252,100.00
20210505,20:04:21.501,126387924,4992488,7623124,278804,567900,159744,95595508,100.00
20210505,20:04:21.601,126403924,4976488,7623396,278804,567900,159744,95611012,100.00
20210505,20:04:21.701,126421180,4959232,7623396,278804,567900,159744,95628208,100.00
20210505,20:04:21.801,126434228,4946184,7623396,278804,567900,159744,95641432,100.00
20210505,20:04:21.901,126451280,4929132,7623396,278804,567900,159744,95658688,100.00
20210505,20:04:22.001,126469596,4910816,7623428,278804,567904,159744,95677100,100.00
20210505,20:04:22.101,126486748,4893664,7623428,278804,567904,159744,95694356,100.00
20210505,20:04:22.201,126501752,4878660,7623428,278804,567904,159744,95709200,100.00
20210505,20:04:22.301,126519500,4860912,7623444,278804,567656,159744,95726396,100.00
20210505,20:04:22.401,126536760,4843652,7623444,278804,567656,159744,95743652,100.00
20210505,20:04:22.501,126554056,4826356,7623444,278804,567660,159744,95760848,100.00
20210505,20:04:22.601,126571324,4809088,7623444,278804,567660,159744,95778104,100.00
20210505,20:04:22.701,126589088,4791324,7623444,278804,567660,159744,95795804,100.00
20210505,20:04:22.801,126606364,4774048,7623644,278804,567924,159744,95813620,100.00
20210505,20:04:22.901,126616576,4763836,7623708,278804,567924,159744,95823796,100.00
20210505,20:04:23.001,126616964,4763448,7624028,278804,567928,159744,95823916,100.00
20210505,20:04:23.101,126617484,4762928,7624444,278804,567932,159744,95823976,100.00
20210505,20:04:23.201,126618208,4762204,7625052,278804,567932,159744,95824096,100.00
20210505,20:04:23.301,126618280,4762132,7625052,278804,567936,159744,95824156,100.00
20210505,20:04:23.401,126619116,4761296,7625788,278804,567936,159744,95824276,100.00
20210505,20:04:23.501,126619472,4760940,7626044,278804,567936,159744,95824396,100.00
20210505,20:04:23.601,126619856,4760556,7626332,278804,567940,159744,95824456,100.00
20210505,20:04:23.701,126620212,4760200,7626620,278804,567940,159744,95824576,100.00
20210505,20:04:23.801,126620568,4759844,7626908,278804,567948,159744,95824576,100.00
20210505,20:04:23.901,126621004,4759408,7627164,278804,567952,159744,95824812,100.00
20210505,20:04:24.001,126621120,4759292,7627128,278804,567952,159744,95824872,100.00
20210505,20:04:24.101,126621104,4759308,7627064,278804,567952,159744,95824992,100.00
20210505,20:04:24.201,126621708,4758704,7627576,278804,567952,159744,95825112,100.00
20210505,20:04:24.301,126622108,4758304,7627896,278804,567952,159744,95825172,100.00
20210505,20:04:24.401,126622940,4757472,7628600,278804,567952,159744,95825292,100.00
20210505,20:04:24.501,126623280,4757132,7628864,278804,567952,159744,95825352,100.00
