################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/math/master/projects/ruis-apps/tmp.L5jGGsv6me 
# Host:       arch  DaemonOpts: 
# Booted:     1608051156.78 [20201215-11:52:36]
# Distro:     debian bullseye/sid, Ubuntu 20.04.1 LTS  Platform: Unknown
# Date:       20201215-225355  Secs: 1608090835 TZ: -0500
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 24 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 3737.557 Cores: 12  Siblings: 24 Nodes: 1
# Kernel:     5.9.12-arch1-1  Memory: 65871868 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: nvme0n1 nvme1n1
# NumNets:    6 NetNames: lo:?? enp7s0:?? enp6s0:1000 br-8b161ea8f973:?? br-9c7347618dfb:?? docker0:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20201215,22:53:55.403,3429884,62441984,243532,635644,1290356,20480,1859392,100.00
20201215,22:53:55.501,3444484,62427384,244364,636856,1298032,20480,1870300,100.00
20201215,22:53:55.603,3456108,62415760,244556,639492,1302100,20480,1879740,100.00
20201215,22:53:55.701,3457148,62414720,244556,639624,1302888,20480,1880356,100.00
20201215,22:53:55.804,3457432,62414436,244588,640132,1302988,20480,1880596,100.00
20201215,22:53:55.901,3457424,62414444,244588,640132,1302988,20480,1880596,100.00
20201215,22:53:56.001,3457424,62414444,244588,640132,1302988,20480,1880596,100.00
20201215,22:53:56.101,3470052,62401816,244876,640464,1311284,20480,1891528,100.00
20201215,22:53:56.201,3474644,62397224,244908,641184,1315596,20480,1896068,100.00
20201215,22:53:56.301,3476040,62395828,244904,641164,1317752,20480,1895552,100.00
20201215,22:53:56.401,3476544,62395324,244904,641164,1318160,20480,1895956,100.00
20201215,22:53:56.501,3476544,62395324,244904,641164,1318172,20480,1895956,100.00
20201215,22:53:56.601,3479568,62392300,244904,641164,1321000,20480,1898784,100.00
20201215,22:53:56.701,3483600,62388268,244904,641164,1325040,20480,1902824,100.00
20201215,22:53:56.801,3490656,62381212,244904,641164,1332316,20480,1910096,100.00
20201215,22:53:56.901,3513336,62358532,244904,641164,1355352,20480,1932720,100.00
20201215,22:53:57.001,3513840,62358028,244904,641164,1355756,20480,1933528,100.00
20201215,22:53:57.101,3498992,62372876,244904,641164,1339600,20480,1917368,100.00
20201215,22:53:57.201,3506784,62365084,244904,641164,1348480,20480,1926244,100.00
20201215,22:53:57.301,3507272,62364596,244904,641164,1349288,20480,1927052,100.00
20201215,22:53:57.401,3500468,62371400,244904,642144,1341112,20480,1919264,100.00
20201215,22:53:57.501,3502600,62369268,245096,642732,1340968,20480,1920368,100.00
20201215,22:53:57.601,3504884,62366984,245080,642732,1342188,20480,1922524,100.00
20201215,22:53:57.701,3320384,62551484,237584,606776,1246844,20480,1749208,100.00
