################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/math/master/projects/ruis-apps/tmp.HG3VcRnHyD 
# Host:       arch  DaemonOpts: 
# Booted:     1608051156.1 [20201215-11:52:36]
# Distro:     debian bullseye/sid, Ubuntu 20.04.1 LTS  Platform: Unknown
# Date:       20201215-223321  Secs: 1608089601 TZ: -0500
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 24 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 2525.380 Cores: 12  Siblings: 24 Nodes: 1
# Kernel:     5.9.12-arch1-1  Memory: 65871868 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: nvme0n1 nvme1n1
# NumNets:    6 NetNames: lo:?? enp7s0:?? enp6s0:1000 br-8b161ea8f973:?? br-9c7347618dfb:?? docker0:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20201215,22:33:22.001,2468044,63403824,239980,670392,1176916,6144,1594448,100.00
20201215,22:33:22.101,2489932,63381936,240204,675336,1183180,6144,1615484,100.00
20201215,22:33:22.201,2509600,63362268,240864,677000,1191704,6144,1635300,100.00
20201215,22:33:22.301,2524728,63347140,241376,678440,1199128,6144,1648980,100.00
20201215,22:33:22.401,2542540,63329328,241632,681120,1203728,6144,1665472,100.00
20201215,22:33:22.501,2544588,63327280,241632,681824,1204624,6144,1667116,100.00
20201215,22:33:22.601,2544588,63327280,241632,681928,1204640,6144,1667116,100.00
20201215,22:33:22.701,2555144,63316724,241824,682280,1209240,6144,1676896,100.00
20201215,22:33:22.801,2567180,63304688,242016,683056,1216992,6144,1688144,100.00
20201215,22:33:22.901,2570748,63301120,242072,683056,1217596,6144,1688820,100.00
20201215,22:33:23.001,2571756,63300112,242072,683056,1217600,6144,1688820,100.00
20201215,22:33:23.101,2571740,63300128,242072,683056,1217816,6144,1689020,100.00
20201215,22:33:23.201,2573412,63298456,241888,683056,1217648,6144,1688816,100.00
20201215,22:33:23.301,2580044,63291824,241960,683056,1217728,6144,1689048,100.00
20201215,22:33:23.401,2587620,63284248,241960,683056,1223384,6144,1694704,100.00
20201215,22:33:23.501,2589636,63282232,241960,683056,1225000,6144,1696320,100.00
20201215,22:33:23.601,2591792,63280076,241888,683056,1227272,6144,1698592,100.00
20201215,22:33:23.701,2611960,63259908,241720,683580,1248292,6144,1716448,100.00
20201215,22:33:23.801,2631632,63240236,241720,684436,1267876,6144,1728608,100.00
20201215,22:33:23.901,2634436,63237432,241720,684436,1270660,6144,1730612,100.00
20201215,22:33:24.001,2655604,63216264,241720,684672,1291024,6144,1750864,100.00
20201215,22:33:24.101,2667376,63204492,241640,684672,1302144,6144,1761816,100.00
20201215,22:33:24.201,2670204,63201664,241672,684672,1303496,6144,1763844,100.00
20201215,22:33:24.301,2679272,63192596,241672,684672,1308552,6144,1772188,100.00
20201215,22:33:24.401,2687960,63183908,242088,684672,1313804,6144,1780412,100.00
20201215,22:33:24.501,2699368,63172500,242120,684672,1324720,6144,1788492,100.00
20201215,22:33:24.601,2702896,63168972,242120,684672,1328360,6144,1791724,100.00
20201215,22:33:24.701,2703400,63168468,242120,684672,1328364,6144,1792128,100.00
20201215,22:33:24.801,2704408,63167460,242120,684672,1329580,6144,1792936,100.00
20201215,22:33:24.901,2713480,63158388,242120,684672,1338476,6144,1801824,100.00
20201215,22:33:25.001,2726724,63145144,242536,688308,1337672,6144,1814160,100.00
20201215,22:33:25.101,2744272,63127596,242536,692752,1340904,6144,1831360,100.00
20201215,22:33:25.201,2755364,63116504,242704,693152,1350668,6144,1836084,100.00
20201215,22:33:25.301,2770268,63101600,243004,695232,1355808,6144,1850444,100.00
20201215,22:33:25.401,2781736,63090132,243140,696484,1361600,6144,1860944,100.00
20201215,22:33:25.501,2797460,63074408,243504,697428,1368396,6144,1875624,100.00
20201215,22:33:25.601,2810288,63061580,244008,697812,1374296,6144,1886844,100.00
20201215,22:33:25.701,2822204,63049664,244612,697892,1381864,6144,1897308,100.00
20201215,22:33:25.801,2830748,63041120,245108,697912,1387172,6144,1905152,100.00
20201215,22:33:25.901,2842600,63029268,245640,699540,1391220,6144,1915268,100.00
20201215,22:33:26.001,2845128,63026740,245648,699540,1393592,6144,1917924,100.00
20201215,22:33:26.101,2845380,63026488,245656,699540,1393892,6144,1918180,100.00
20201215,22:33:26.201,2845380,63026488,245656,699540,1393928,6144,1918240,100.00
20201215,22:33:26.301,2845380,63026488,245656,699540,1393928,6144,1918240,100.00
20201215,22:33:26.401,2846892,63024976,245656,699540,1395140,6144,1919452,100.00
20201215,22:33:26.501,2852436,63019432,245656,699540,1400796,6144,1925108,100.00
20201215,22:33:26.601,2858260,63013608,246072,699540,1403860,6144,1930756,100.00
20201215,22:33:26.701,2872212,62999656,246496,702772,1405936,6144,1943744,100.00
20201215,22:33:26.801,2882964,62988904,246424,703208,1413548,6144,1953884,100.00
20201215,22:33:26.901,2898580,62973288,247272,705632,1418400,6144,1968832,100.00
20201215,22:33:27.001,2916420,62955448,247272,708460,1424864,6144,1985396,100.00
20201215,22:33:27.101,2926012,62945856,247272,708460,1434564,6144,1995092,100.00
20201215,22:33:27.201,2929800,62942068,247644,708956,1437468,6144,1999432,100.00
20201215,22:33:27.301,2942148,62929720,247584,708828,1437380,6144,2010540,100.00
20201215,22:33:27.401,2942140,62929728,247584,708828,1436976,6144,2010076,100.00
20201215,22:33:27.501,2942628,62929240,247616,708828,1437380,6144,2010480,100.00
20201215,22:33:27.601,2950944,62920924,247616,709272,1445624,6144,2015484,100.00
20201215,22:33:27.701,2970356,62901512,247616,709952,1464304,6144,2030968,100.00
20201215,22:33:27.801,2983964,62887904,247616,710244,1478096,6144,2043156,100.00
20201215,22:33:27.901,2999076,62872792,247616,710296,1492840,6144,2053764,100.00
20201215,22:33:28.001,3011668,62860200,247608,710356,1505444,6144,2062080,100.00
20201215,22:33:28.101,3021244,62850624,247608,710396,1516148,6144,2069712,100.00
20201215,22:33:28.201,3027652,62844216,247816,710464,1520916,6144,2073596,100.00
20201215,22:33:28.301,3048548,62823320,247816,710640,1541884,6144,2090316,100.00
20201215,22:33:28.401,3059132,62812736,247816,710640,1551984,6144,2099608,100.00
20201215,22:33:28.501,3066188,62805680,247816,710640,1558856,6144,2106476,100.00
20201215,22:33:28.601,3068204,62803664,247816,710640,1561280,6144,2108900,100.00
20201215,22:33:28.701,3068204,62803664,247816,710640,1561284,6144,2108900,100.00
20201215,22:33:28.801,3077276,62794592,247816,710640,1570176,6144,2117788,100.00
20201215,22:33:28.901,3078284,62793584,247816,710640,1570984,6144,2118192,100.00
20201215,22:33:29.001,3079796,62792072,247816,710640,1572604,6144,2119808,100.00
20201215,22:33:29.101,2918380,62953488,247768,708656,1409796,6144,1954460,100.00
20201215,22:33:29.201,2921068,62950800,247664,709364,1412408,6144,1956664,100.00
20201215,22:33:29.301,2932432,62939436,247748,709388,1424224,6144,1968448,100.00
20201215,22:33:29.401,2944528,62927340,247748,709792,1436344,6144,1980628,100.00
20201215,22:33:29.501,2960656,62911212,247748,709792,1452504,6144,1996788,100.00
20201215,22:33:29.601,2968972,62902896,247748,709792,1460584,6144,2004868,100.00
20201215,22:33:29.701,2979044,62892824,247748,709792,1470724,6144,2014968,100.00
20201215,22:33:29.801,2991644,62880224,247748,710196,1483248,6144,2027492,100.00
20201215,22:33:29.901,2994164,62877704,247748,710196,1485268,6144,2029512,100.00
20201215,22:33:30.001,2995676,62876192,247748,710196,1486884,6144,2031128,100.00
20201215,22:33:30.101,2995676,62876192,247748,710196,1486884,6144,2031128,100.00
20201215,22:33:30.201,3003740,62868128,247748,710196,1495368,6144,2039612,100.00
20201215,22:33:30.301,3005496,62866372,247748,710356,1496832,6144,2041040,100.00
